"SKMEL2_Untreated_1" "SKMEL2_Untreated_2" "SKMEL2_Untreated_3" "SKMEL2_Induced_18hours_1" "SKMEL2_Induced_18hours_2" "SKMEL2_Induced_18hours_3"
"ENSG00000000003" 582 582 594 761 629 564
"ENSG00000000419" 1513 1968 2010 2051 1667 1549
"ENSG00000000457" 270 303 344 341 296 251
"ENSG00000000460" 471 583 618 554 490 474
"ENSG00000000971" 371 393 449 457 321 281
"ENSG00000001036" 1189 1484 1529 1548 1299 1301
"ENSG00000001084" 675 714 906 852 668 681
"ENSG00000001167" 821 956 1083 1049 856 912
"ENSG00000001460" 220 260 266 270 217 226
"ENSG00000001461" 1470 1600 1878 1953 1494 1504
"ENSG00000001497" 949 1202 1304 1258 1011 1071
"ENSG00000001561" 985 1075 1187 1272 961 947
"ENSG00000001617" 13 13 11 16 10 10
"ENSG00000001626" 7 4 4 7 8 3
"ENSG00000001629" 3441 3702 4357 4265 3365 3297
"ENSG00000001630" 53 38 42 56 37 42
"ENSG00000001631" 1400 1628 2040 1719 1313 1226
"ENSG00000002016" 249 275 308 267 271 244
"ENSG00000002079" 5 1 5 7 3 4
"ENSG00000002330" 54 64 77 71 49 64
"ENSG00000002549" 1269 1562 1614 1604 1381 1346
"ENSG00000002586" 2415 3030 3701 3289 2595 2650
"ENSG00000002587" 60 66 65 91 55 57
"ENSG00000002726" 9 3 3 13 7 6
"ENSG00000002745" 1 2 2 10 3 3
"ENSG00000002746" 9 7 5 18 6 2
"ENSG00000002822" 373 424 532 485 415 455
"ENSG00000002834" 2045 2511 3050 2674 2095 2177
"ENSG00000002919" 319 425 343 511 427 388
"ENSG00000002933" 5 7 7 6 5 6
"ENSG00000003056" 3889 4669 5573 5104 4164 4102
"ENSG00000003096" 136 117 170 157 118 136
"ENSG00000003137" 72 137 134 150 119 104
"ENSG00000003147" 94 101 131 134 108 111
"ENSG00000003249" 598 625 874 840 616 682
"ENSG00000003393" 833 945 1034 1076 894 845
"ENSG00000003400" 71 68 76 111 65 61
"ENSG00000003402" 382 406 499 455 388 361
"ENSG00000003436" 190 225 252 271 202 140
"ENSG00000003509" 406 500 535 523 483 374
"ENSG00000003756" 1362 1538 1838 1787 1342 1287
"ENSG00000003987" 39 32 51 48 39 30
"ENSG00000003989" 399 408 440 421 363 409
"ENSG00000004059" 482 612 724 629 514 528
"ENSG00000004139" 121 132 134 184 131 135
"ENSG00000004142" 1686 2188 2317 2330 1943 2045
"ENSG00000004399" 5353 6642 8384 7339 5712 6188
"ENSG00000004455" 3914 4937 5838 5050 4041 4155
"ENSG00000004468" 19 11 15 14 11 17
"ENSG00000004478" 2945 3514 4009 3643 2812 3038
"ENSG00000004487" 2573 3116 3642 3289 2714 2776
"ENSG00000004534" 1773 2070 2678 2333 1737 1862
"ENSG00000004660" 43 62 55 62 43 46
"ENSG00000004700" 1187 1485 1426 1526 1226 1217
"ENSG00000004766" 691 860 977 972 727 763
"ENSG00000004776" 2 2 4 2 0 2
"ENSG00000004777" 24 28 42 34 23 23
"ENSG00000004779" 1085 1287 1066 1490 1147 1016
"ENSG00000004799" 4 0 1 3 2 2
"ENSG00000004809" 4 2 1 1 0 1
"ENSG00000004838" 8 3 5 8 10 14
"ENSG00000004846" 338 391 487 480 410 396
"ENSG00000004848" 3 1 1 1 2 1
"ENSG00000004864" 3716 4265 4298 4740 3858 3943
"ENSG00000004866" 655 754 931 894 687 723
"ENSG00000004897" 2774 3221 3841 3473 2943 3020
"ENSG00000004939" 2 0 2 0 1 1
"ENSG00000004948" 4 0 5 2 1 3
"ENSG00000004961" 599 771 904 816 688 684
"ENSG00000004975" 563 712 897 845 715 748
"ENSG00000005001" 1 1 0 0 0 1
"ENSG00000005007" 1790 2092 2426 2360 2052 2113
"ENSG00000005020" 1382 1443 1535 1723 1354 1362
"ENSG00000005022" 6081 7345 7336 7842 6161 6610
"ENSG00000005059" 7 9 10 12 10 3
"ENSG00000005073" 4 8 10 7 4 3
"ENSG00000005075" 455 576 584 620 516 593
"ENSG00000005100" 1697 1824 2020 2446 1711 1951
"ENSG00000005102" 1 0 0 1 0 0
"ENSG00000005108" 29 24 30 33 38 40
"ENSG00000005156" 713 832 1003 931 730 728
"ENSG00000005175" 1107 1275 1547 1315 1113 1116
"ENSG00000005187" 107 124 174 148 108 102
"ENSG00000005189" 201 244 298 258 248 195
"ENSG00000005194" 679 855 738 919 766 730
"ENSG00000005206" 243 279 307 372 251 232
"ENSG00000005238" 411 536 646 616 510 502
"ENSG00000005243" 2 4 2 5 3 5
"ENSG00000005249" 1056 1233 1435 1408 1195 1299
"ENSG00000005302" 499 585 671 540 502 474
"ENSG00000005339" 1715 1948 2674 2372 1794 1915
"ENSG00000005379" 0 1 1 2 0 0
"ENSG00000005421" 0 2 3 0 0 1
