"SKMEL2_Untreated_1" "SKMEL2_Untreated_2" "SKMEL2_Untreated_3" "SKMEL2_Induced_18hours_1" "SKMEL2_Induced_18hours_2" "SKMEL2_Induced_18hours_3" "SKMEL30_Untreated_1" "SKMEL30_Untreated_2" "SKMEL30_Untreated_3" "SKMEL30_Induced_18hours_1" "SKMEL30_Induced_18hours_2" "SKMEL30_Induced_18hours_3"
"ENSG00000000003" 582 582 594 761 629 564 558 482 488 524 433 509
"ENSG00000000419" 1513 1968 2010 2051 1667 1549 1372 1347 1214 1424 1156 1352
"ENSG00000000457" 270 303 344 341 296 251 342 348 300 353 276 337
"ENSG00000000460" 471 583 618 554 490 474 834 826 771 861 645 809
"ENSG00000000938" 0 0 0 0 0 0 0 0 0 0 0 4
"ENSG00000000971" 371 393 449 457 321 281 9 9 4 11 4 4
"ENSG00000001036" 1189 1484 1529 1548 1299 1301 1125 1205 1127 1215 1090 1180
"ENSG00000001084" 675 714 906 852 668 681 825 825 692 846 667 873
"ENSG00000001167" 821 956 1083 1049 856 912 1513 1492 1368 1561 1284 1624
"ENSG00000001460" 220 260 266 270 217 226 265 272 245 283 255 301
"ENSG00000001461" 1470 1600 1878 1953 1494 1504 685 799 700 737 733 784
"ENSG00000001497" 949 1202 1304 1258 1011 1071 1284 1317 1141 1364 1145 1290
"ENSG00000001561" 985 1075 1187 1272 961 947 0 0 0 4 0 0
"ENSG00000001617" 13 13 11 16 10 10 13 10 8 4 7 5
"ENSG00000001626" 7 4 4 7 8 3 0 0 0 1 1 1
"ENSG00000001629" 3441 3702 4357 4265 3365 3297 1237 1162 1088 1267 1045 1236
"ENSG00000001630" 53 38 42 56 37 42 87 92 70 73 73 91
"ENSG00000001631" 1400 1628 2040 1719 1313 1226 806 875 747 915 738 840
"ENSG00000002016" 249 275 308 267 271 244 207 185 176 219 182 218
"ENSG00000002079" 5 1 5 7 3 4 3 2 0 2 0 1
"ENSG00000002330" 54 64 77 71 49 64 151 146 132 157 132 132
"ENSG00000002549" 1269 1562 1614 1604 1381 1346 2040 1835 1531 1851 1571 1963
"ENSG00000002586" 2415 3030 3701 3289 2595 2650 3577 3685 3067 3470 2818 3456
"ENSG00000002587" 60 66 65 91 55 57 8 9 10 11 9 15
"ENSG00000002726" 9 3 3 13 7 6 0 0 1 0 0 3
"ENSG00000002745" 1 2 2 10 3 3 1 2 0 4 4 2
"ENSG00000002746" 9 7 5 18 6 2 1 1 0 0 0 0
"ENSG00000002822" 373 424 532 485 415 455 602 627 529 583 480 567
"ENSG00000002834" 2045 2511 3050 2674 2095 2177 4535 4736 4084 4586 3701 4485
